Term	Frequency
the		180591
of		86834
and		71703
in		60340
to		49531
a		43928
is		23773
as		20122
on		19212
was		18336
for		16652
by		16416
with		14975
from		13622
that		12935
are		11252
at		10978
it		10614
were		10495
which		8463
or		8452
hurricane		8326
an		8157
tropical		6987
be		6763
its		6729
storm		6605
this		6123
also		5938
has		5356
over		4956
have		4947
new		4905
states		4568
into		4401
state		4393
one		4245
their		4139
other		3978
can		3958
more		3935
winds		3908
not		3895
after		3861
most		3860
during		3860
first		3851
had		3817
united		3795
than		3739
but		3404
damage		3400
two		3397
north		3374
been		3333
such		3284
water		3264
system		3177
they		3132
about		3098
city		3097
all		3096
when		3075
between		3068
area		3064
cyclone		2910
island		2905
national		2867
while		2833
wind		2833
many		2793
some		2780
there		2779
these		2742
air		2717
used		2698
south		2621
time		2480
only		2479
may		2450
us		2438
center		2431
areas		2363
high		2341
due		2311
atlantic		2301
through		2269
weather		2267
people		2174
along		2167
including		2166
cyclones		2107
several		2093
near		2077
up		2031
coast		2025
his		2011
power		1995
within		1993
caused		1989
however		1958
where		1934
made		1931
ocean		1926
known		1920
since		1914
pressure		1886
three		1873
years		1873
space		1871
would		1870
around		1867
world		1839
major		1820
islands		1816
well		1813
before		1801
who		1779
river		1778
rainfall		1776
west		1775
september		1774
later		1763
day		1759
sea		1741
season		1733
both		1721
population		1716
no		1714
american		1710
county		1709
storms		1701
government		1696
surface		1690
large		1677
east		1673
southern		1671
became		1649
early		1639
florida		1609
out		1606
low		1596
pacific		1595
hurricanes		1593
university		1537
region		1530
part		1528
across		1526
central		1523
under		1515
will		1504
energy		1502
he		1499
being		1493
year		1485
northern		1466
form		1424
virginia		1423
began		1420
flooding		1406
number		1402
international		1398
landfall		1395
largest		1392
total		1380
any		1378
strong		1373
then		1373
reported		1371
land		1367
include		1361
eastern		1349
war		1345
because		1325
western		1324
york		1313
each		1300
use		1297
temperature		1294
per		1292
called		1283
october		1255
august		1253
four		1247
force		1246
name		1244
systems		1231
if		1230
days		1226
same		1226
station		1222
located		1212
service		1202
mexico		1195
second		1194
until		1193
often		1191
public		1181
depression		1165
local		1164
climate		1160
1		1157
country		1153
heavy		1149
although		1144
intensity		1140
million		1135
much		1130
heat		1122
significant		1121
century		1113
small		1112
estimated		1105
following		1099
moved		1097
rain		1084
so		1082
miles		1081
puerto		1068
damaged		1060
average		1054
those		1052
developed		1042
destroyed		1041
bay		1041
development		1036
research		1032
off		1031
home		1028
precipitation		1024
level		1023
carolina		1023
earth		1018
beach		1016
result		1007
federal		1006
gulf		1005
texas		999
above		993
residents		979
late		976
point		975
2010		970
president		969
least		965
based		960
named		959
produced		954
throughout		943
school		942
though		939
reached		931
data		921
issued		919
very		918
them		916
period		911
names		908
severe		905
found		894
great		894
another		882
cape		879
left		877
long		877
record		874
formed		873
july		871
five		867
hours		863
cold		860
general		860
sustained		857
change		848
coastal		847
less		846
ice		840
few		839
america		836
affected		835
conditions		834
just		834
still		833
november		822
warm		820
line		814
lake		813
recorded		812
usually		811
example		811
different		810
end		803
without		802
among		801
six		800
could		798
work		793
homes		784
washington		784
approximately		778
light		778
shear		765
highest		765
become		762
surge		760
higher		758
occurred		758
increase		756
trees		755
rico		755
addition		753
warning		753
main		753
generally		752
5		750
emergency		750
down		749
using		748
making		747
increased		747
de		747
2011		745
further		744
peak		741
associated		738
lower		737
june		737
10		737
current		736
meteorological		734
now		734
effect		733
regions		728
extratropical		726
led		726
temperatures		723
mass		721
atmospheric		718
circulation		718
like		717
convection		716
3		716
language		716
military		711
aircraft		710
british		709
wave		706
important		703
next		701
2		701
march		699
crew		698
nearly		697
lines		696
according		696
eye		693
waves		691
atmosphere		690
december		689
established		689
roads		689
cloud		688
even		687
warnings		682
continued		680
schools		680
typhoon		677
scale		677
category		673
canada		673
global		671
louisiana		671
history		670
4		669
life		665
did		665
mississippi		665
port		665
ground		665
buildings		664
st		664
snow		660
natural		659
term		658
killed		654
office		654
summer		653
district		653
common		652
parts		650
place		649
satellite		649
china		648
speed		645
considered		644
program		642
team		642
last		641
maximum		640
passed		640
flow		639
similar		639
house		635
rate		634
effects		632
french		632
2008		628
services		627
european		626
basin		626
various		626
weakened		625
moving		622
causing		622
april		621
feet		615
waters		614
indian		613
clouds		613
launch		611
forces		611
building		611
set		611
department		609
subtropical		606
january		606
cities		605
lost		604
below		601
especially		600
back		599
make		597
japan		597
northeast		596
spanish		596
every		595
times		593
2005		593
caribbean		592
occur		592
countries		592
given		591
winter		590
nations		588
cause		586
what		585
law		585
park		584
third		583
english		583
expedition		582
30		580
hemisphere		578
san		578
changes		576
released		575
group		572
process		571
status		571
members		571
tornadoes		567
deaths		566
2012		566
disaster		565
africa		565
strength		564
2007		564
do		561
2013		560
age		560
series		559
remained		558
control		557
peninsula		555
against		553
john		553
greater		552
upper		551
quickly		551
earths		550
field		549
activity		549
built		549
percent		548
created		547
solar		547
2015		546
airport		546
flood		545
20		543
counties		543
single		543
tornado		543
included		542
town		542
governor		541
numerous		539
college		539
track		538
popular		536
official		535
events		535
12		535
15		534
economic		534
stations		531
2009		530
i		530
company		528
portion		526
maryland		526
away		523
radio		523
closed		521
african		521
capital		521
–		521
food		521
mission		520
chinese		520
science		519
support		516
typically		515
motion		515
occurs		514
agency		512
primary		511
2016		511
additional		508
england		508
information		507
flight		505
brought		505
shuttle		504
health		504
18		501
union		501
human		500
order		500
despite		500
range		499
provide		499
music		499
almost		497
observed		497
once		497
either		497
6		497
provided		497
received		494
modern		494
square		494
far		493
2006		493
radar		491
education		491
inches		490
project		490
took		490
rivers		488
formation		487
sometimes		487
little		487
larger		486
album		486
direction		484
particularly		483
levels		483
impact		481
held		481
billion		480
old		480
former		479
regional		478
top		478
production		478
way		478
navy		478
2014		478
struck		477
houses		477
own		476
el		476
white		476
thus		475
worlds		475
resulted		475
jersey		475
february		474
bureau		474
body		473
thunderstorms		472
half		472
side		470
expected		470
months		469
community		468
upon		466
forecast		466
includes		466
red		466
defined		465
civil		465
intense		464
baltimore		463
report		462
hit		461
list		461
organization		460
front		460
amount		459
dry		459
columbia		459
base		458
having		457
act		457
again		456
location		455
trade		455
final		455
court		455
southeast		454
available		454
2000		454
mostly		454
iss		454
black		452
possible		451
pennsylvania		451
potential		450
resulting		450
northwest		449
11		449
launched		449
rapidly		448
inland		448
deep		448
political		448
2004		447
extensive		447
overall		447
take		446
site		446
annual		445
cuba		445
seen		444
